New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
Banbury,"102,000","42,500",,18.7%,9.0%,13.1%,19.7%,20.2%,19.4%,,84.0%,0.5%,8.6%,1.8%,3.4%,1.3%,0.4%,,79.9%,9.8%,5.4%,1.5%,2.4%,1.0%,,37.7%,50.7%,0.5%,0.4%,0.1%,3.7%,0.4%,0.5%,6.0%,,33.8%,30.0%,19.4%,15.1%,1.7%
Bangor Aberconwy,"92,300","40,200",,15.6%,12.8%,10.8%,15.8%,21.4%,23.6%,,92.8%,0.5%,2.9%,0.8%,2.2%,0.6%,0.2%,,91.5%,3.7%,2.3%,0.6%,1.2%,0.7%,,42.3%,48.2%,0.4%,0.3%,0.0%,1.3%,0.0%,0.7%,6.7%,,41.5%,24.1%,19.6%,14.3%,0.5%
Barking,"134,000","44,600",,26.4%,11.6%,15.6%,23.7%,15.0%,7.6%,,56.7%,0.4%,16.6%,10.7%,14.2%,1.5%,0.1%,,27.7%,14.5%,28.1%,21.7%,4.3%,3.7%,,17.7%,43.7%,0.4%,2.8%,0.1%,27.6%,1.8%,0.4%,5.5%,,13.1%,26.2%,25.6%,32.8%,2.4%
Barnsley North,"104,000","46,000",,18.4%,9.2%,14.2%,18.4%,21.1%,18.7%,,93.3%,0.2%,4.6%,0.7%,1.0%,0.2%,0.1%,,92.5%,4.3%,1.0%,0.7%,0.9%,0.6%,,42.0%,51.3%,0.2%,0.2%,0.0%,0.6%,0.1%,0.3%,5.3%,,32.4%,30.0%,17.3%,19.6%,0.7%
Barnsley South,"105,000","46,700",,18.8%,9.4%,14.2%,18.2%,21.0%,18.5%,,92.7%,0.1%,5.3%,0.7%,0.8%,0.2%,0.1%,,91.7%,5.1%,0.8%,0.8%,1.0%,0.6%,,43.8%,49.7%,0.2%,0.2%,0.0%,0.6%,0.1%,0.4%,5.1%,,30.3%,27.4%,19.1%,22.3%,0.9%
Barrow and Furness,"97,400","44,900",,16.5%,8.9%,12.3%,16.8%,22.4%,23.0%,,96.2%,0.2%,1.4%,0.6%,1.1%,0.4%,0.1%,,95.8%,1.6%,1.2%,0.3%,0.8%,0.3%,,38.5%,54.3%,0.4%,0.1%,0.0%,0.4%,0.0%,0.4%,5.8%,,41.4%,31.3%,16.2%,10.8%,0.3%
Basildon and Billericay,"108,000","43,500",,21.7%,9.5%,13.7%,19.9%,18.7%,16.4%,,87.9%,0.6%,5.0%,2.9%,2.7%,0.8%,0.2%,,81.5%,5.7%,4.1%,5.1%,2.7%,0.9%,,44.0%,46.6%,0.3%,1.2%,0.2%,1.9%,0.2%,0.4%,5.3%,,29.5%,32.3%,13.0%,24.0%,1.1%
Basingstoke,"110,000","45,600",,19.2%,9.4%,15.0%,21.8%,18.9%,15.6%,,82.2%,0.5%,6.8%,2.7%,6.5%,1.1%,0.2%,,77.9%,7.7%,7.7%,2.4%,2.9%,1.5%,,44.5%,42.6%,1.2%,3.0%,0.1%,2.0%,0.3%,0.8%,5.6%,,27.5%,33.3%,16.8%,20.7%,1.8%
Bassetlaw,"104,000","45,700",,17.6%,8.7%,12.5%,17.8%,21.8%,21.5%,,92.8%,0.2%,4.9%,0.6%,1.1%,0.3%,0.1%,,91.4%,4.8%,1.3%,0.7%,1.2%,0.5%,,37.9%,54.9%,0.2%,0.2%,0.0%,0.6%,0.2%,0.4%,5.5%,,36.6%,30.5%,16.6%,15.8%,0.6%
Bath,"102,000","42,100",,14.8%,21.5%,12.3%,16.8%,17.4%,17.2%,,82.6%,0.6%,7.7%,1.9%,4.8%,1.8%,0.6%,,79.0%,9.5%,5.1%,1.4%,3.6%,1.3%,,49.1%,39.2%,0.7%,0.7%,0.2%,1.5%,0.1%,0.7%,7.8%,,32.8%,24.4%,25.5%,16.3%,1.0%
Battersea,"109,000","47,700",,15.6%,10.5%,29.5%,22.2%,13.7%,8.6%,,60.2%,1.5%,15.9%,6.3%,7.6%,6.4%,2.2%,,46.1%,21.8%,9.1%,12.4%,6.4%,4.3%,,37.4%,43.6%,0.6%,1.2%,0.5%,8.5%,0.2%,0.6%,7.3%,,15.9%,21.2%,38.0%,22.5%,2.4%
Beaconsfield,"96,500","39,300",,18.8%,8.0%,10.5%,19.8%,21.4%,21.5%,,84.0%,0.9%,4.9%,2.6%,5.7%,1.4%,0.5%,,72.2%,7.4%,13.0%,1.6%,3.5%,2.3%,,32.1%,48.2%,0.5%,3.4%,0.4%,3.6%,5.4%,0.4%,5.9%,,37.7%,33.5%,15.4%,12.2%,1.1%
Beckenham and Penge,"107,000","46,400",,18.8%,7.9%,13.9%,24.2%,19.3%,15.9%,,76.7%,1.2%,8.8%,4.7%,4.7%,3.4%,0.7%,,60.3%,12.5%,7.0%,10.6%,7.0%,2.7%,,38.6%,46.4%,0.6%,2.1%,0.4%,4.2%,0.3%,0.6%,6.8%,,28.0%,33.7%,22.8%,14.5%,1.1%
Bedford,"110,000","44,900",,19.6%,10.5%,14.6%,21.1%,18.4%,15.8%,,71.9%,0.6%,13.9%,3.5%,8.2%,1.6%,0.2%,,54.2%,15.1%,16.8%,6.6%,4.9%,2.4%,,30.8%,46.6%,0.3%,1.9%,0.1%,10.2%,2.6%,1.4%,6.1%,,28.4%,26.0%,24.6%,19.8%,1.3%
Bermondsey and Old Southwark,"107,000","47,900",,14.0%,14.9%,27.5%,21.8%,14.6%,7.2%,,54.5%,1.3%,17.5%,8.9%,9.5%,7.0%,1.3%,,34.3%,21.7%,13.2%,18.2%,6.7%,5.9%,,36.8%,41.2%,1.1%,1.8%,0.4%,9.8%,0.3%,0.8%,7.9%,,9.2%,14.5%,36.1%,37.2%,3.0%
Bethnal Green and Stepney,"127,000","46,200",,18.6%,17.2%,26.0%,21.3%,10.9%,6.0%,,53.6%,0.7%,13.8%,3.8%,23.4%,3.5%,1.2%,,20.8%,14.9%,49.4%,6.5%,4.5%,3.8%,,25.0%,18.3%,0.9%,1.3%,0.5%,46.6%,0.3%,0.5%,6.7%,,7.5%,12.6%,36.3%,40.8%,2.8%
Beverley and Holderness,"89,500","40,000",,15.2%,8.4%,9.4%,16.3%,23.6%,27.1%,,96.1%,0.2%,1.8%,0.5%,0.9%,0.4%,0.2%,,96.1%,1.7%,0.9%,0.2%,0.8%,0.3%,,39.8%,52.8%,0.3%,0.2%,0.1%,0.4%,0.0%,0.3%,6.1%,,44.4%,29.7%,15.8%,9.6%,0.6%
Bexhill and Battle,"89,100","40,100",,14.7%,7.7%,8.7%,14.2%,22.4%,32.2%,,92.7%,0.6%,2.7%,1.3%,1.7%,0.9%,0.3%,,91.9%,3.7%,1.5%,0.6%,1.8%,0.5%,,40.6%,50.9%,0.3%,0.2%,0.2%,0.6%,0.0%,0.6%,6.6%,,48.5%,25.3%,16.2%,9.2%,0.9%
Bexleyheath and Crayford,"98,700","37,900",,20.6%,9.8%,12.7%,20.6%,19.4%,16.9%,,80.7%,0.8%,5.8%,5.7%,5.8%,1.0%,0.2%,,66.3%,6.9%,10.0%,11.0%,3.3%,2.5%,,33.8%,49.9%,0.8%,3.1%,0.1%,3.7%,2.6%,0.4%,5.6%,,33.9%,37.2%,13.4%,14.3%,1.2%
Bicester and Woodstock,"101,000","41,400",,18.5%,8.4%,13.6%,20.9%,20.2%,18.4%,,83.7%,0.6%,7.5%,1.9%,3.8%,2.2%,0.4%,,80.2%,9.1%,4.9%,1.5%,3.0%,1.3%,,39.0%,50.8%,0.6%,0.9%,0.1%,1.6%,0.3%,0.5%,6.2%,,34.9%,33.0%,18.6%,11.3%,2.1%
Birkenhead,"106,000","48,000",,19.3%,9.9%,13.0%,18.7%,20.7%,18.4%,,92.9%,0.5%,2.8%,0.7%,2.5%,0.4%,0.1%,,90.0%,3.6%,3.3%,0.6%,1.7%,0.9%,,38.5%,52.9%,0.4%,0.5%,0.1%,1.8%,0.2%,0.4%,5.2%,,28.1%,25.4%,23.0%,22.5%,0.9%
Birmingham Edgbaston,"108,000","43,100",,19.5%,14.9%,15.1%,19.8%,16.0%,14.6%,,71.1%,0.9%,7.0%,5.6%,12.8%,2.4%,0.1%,,46.8%,7.5%,23.0%,11.4%,5.8%,5.5%,,28.6%,38.7%,0.5%,3.3%,0.4%,16.3%,5.1%,0.6%,6.5%,,26.1%,23.6%,24.7%,24.1%,1.5%
Birmingham Erdington,"122,000","49,400",,21.9%,11.0%,14.8%,19.3%,18.9%,14.1%,,78.6%,1.2%,7.2%,3.8%,6.7%,2.4%,0.1%,,54.8%,8.3%,15.3%,13.3%,5.9%,2.5%,,30.6%,45.8%,0.4%,1.1%,0.1%,14.2%,1.1%,0.5%,6.2%,,25.1%,26.5%,21.8%,25.2%,1.3%
Birmingham Hall Green and Moseley,"117,000","38,900",,23.8%,13.1%,14.7%,20.8%,15.5%,12.1%,,67.9%,1.1%,4.4%,4.1%,21.2%,1.2%,0.1%,,24.6%,5.0%,54.2%,5.7%,3.8%,6.6%,,14.6%,18.9%,0.3%,2.8%,0.2%,54.4%,2.6%,0.3%,5.8%,,31.6%,26.8%,24.4%,16.4%,0.6%
Birmingham Hodge Hill and Solihull North,"122,000","42,800",,25.9%,12.9%,13.9%,18.8%,15.9%,12.6%,,78.4%,0.7%,4.3%,3.0%,12.5%,1.1%,0.0%,,46.0%,3.7%,34.1%,7.9%,4.9%,3.5%,,23.4%,32.2%,0.2%,0.4%,0.0%,37.5%,0.4%,0.2%,5.8%,,26.6%,27.5%,15.8%,28.5%,1.5%
Birmingham Ladywood,"152,000","53,300",,23.0%,21.2%,19.3%,19.0%,11.2%,6.4%,,56.5%,0.6%,9.3%,10.0%,20.5%,3.1%,0.1%,,15.6%,6.7%,40.8%,23.7%,4.9%,8.2%,,16.2%,22.3%,0.5%,1.8%,0.1%,49.0%,2.4%,0.6%,7.2%,,14.0%,12.9%,36.4%,35.6%,1.2%
Birmingham Northfield,"108,000","45,500",,22.0%,10.1%,13.7%,19.1%,18.4%,16.6%,,86.7%,1.0%,3.2%,3.2%,4.6%,1.3%,0.1%,,73.4%,4.4%,6.4%,7.6%,5.9%,2.3%,,39.9%,46.8%,0.3%,0.8%,0.1%,5.3%,0.5%,0.6%,5.8%,,27.3%,27.2%,14.8%,28.7%,2.1%
Birmingham Perry Barr,"122,000","39,500",,24.0%,13.9%,14.7%,20.6%,15.9%,10.9%,,62.0%,0.5%,6.4%,5.8%,21.9%,3.5%,0.1%,,16.4%,4.6%,53.0%,17.2%,3.8%,5.0%,,11.0%,25.6%,0.5%,3.3%,0.0%,42.9%,9.5%,1.3%,5.8%,,28.0%,24.2%,24.0%,23.1%,0.8%
Birmingham Selly Oak,"108,000","41,400",,18.0%,21.2%,13.1%,17.7%,16.0%,14.0%,,82.4%,1.2%,4.0%,2.8%,8.0%,1.5%,0.1%,,62.7%,6.1%,16.4%,6.2%,5.6%,3.0%,,36.8%,38.9%,0.5%,1.8%,0.5%,12.9%,1.5%,0.6%,6.6%,,27.8%,26.8%,22.7%,21.0%,1.6%
Birmingham Yardley,"113,000","39,400",,24.5%,12.7%,14.2%,19.6%,16.4%,12.5%,,73.2%,1.2%,5.5%,3.1%,16.0%,0.9%,0.1%,,38.8%,5.3%,40.9%,6.4%,4.1%,4.5%,,18.3%,30.0%,0.2%,1.4%,0.0%,42.6%,1.8%,0.3%,5.4%,,29.3%,29.0%,22.2%,18.6%,0.8%
Bishop Auckland,"92,300","42,700",,16.8%,8.9%,10.2%,16.9%,23.2%,23.9%,,96.9%,0.1%,1.4%,0.4%,0.7%,0.3%,0.1%,,96.3%,1.7%,0.7%,0.3%,0.7%,0.2%,,35.8%,58.1%,0.2%,0.1%,0.0%,0.3%,0.1%,0.4%,4.9%,,38.1%,25.3%,18.6%,17.8%,0.3%
Blackburn,"112,000","40,300",,24.4%,12.4%,13.5%,20.2%,16.3%,13.2%,,77.1%,0.3%,4.7%,2.2%,15.4%,0.2%,0.1%,,44.0%,3.9%,47.5%,1.1%,1.8%,1.8%,,16.1%,31.3%,0.2%,0.4%,0.0%,46.8%,0.1%,0.2%,5.0%,,33.0%,24.0%,20.1%,22.3%,0.6%
Blackley and Middleton South,"111,000","43,800",,24.4%,10.6%,13.8%,20.5%,17.6%,13.2%,,73.1%,1.1%,7.8%,8.5%,8.6%,0.8%,0.1%,,56.8%,6.5%,14.9%,14.4%,4.1%,3.3%,,24.7%,51.2%,0.4%,0.4%,1.1%,16.3%,0.5%,0.3%,5.0%,,23.6%,23.9%,22.6%,28.8%,1.0%
Blackpool North and Fleetwood,"95,000","43,900",,16.0%,8.4%,10.9%,16.1%,22.2%,26.4%,,95.8%,0.4%,2.0%,0.4%,1.0%,0.3%,0.1%,,95.2%,2.1%,1.0%,0.3%,1.1%,0.3%,,37.4%,55.9%,0.3%,0.1%,0.1%,0.5%,0.0%,0.5%,5.1%,,40.6%,28.7%,21.0%,9.2%,0.5%
Blackpool South,"109,000","49,700",,18.2%,9.7%,13.4%,18.0%,21.8%,18.8%,,91.2%,0.5%,4.6%,0.7%,2.6%,0.3%,0.1%,,89.2%,4.9%,3.0%,0.6%,1.7%,0.7%,,41.9%,49.6%,0.3%,0.4%,0.2%,1.7%,0.1%,0.5%,5.3%,,28.8%,25.1%,34.9%,10.8%,0.4%
Blaenau Gwent and Rhymney,"94,400","42,500",,17.9%,9.5%,13.4%,17.7%,21.6%,20.0%,,97.1%,0.1%,1.6%,0.3%,0.7%,0.1%,0.1%,,96.1%,1.8%,0.9%,0.2%,0.8%,0.2%,,57.4%,35.5%,0.2%,0.1%,0.0%,0.4%,0.2%,0.5%,5.8%,,34.7%,25.3%,16.0%,23.8%,0.2%
Blaydon and Consett,"91,600","41,700",,17.3%,8.5%,11.8%,18.8%,21.9%,21.7%,,96.5%,0.2%,1.8%,0.4%,0.8%,0.2%,0.1%,,95.8%,2.0%,0.8%,0.2%,0.9%,0.3%,,38.9%,55.5%,0.2%,0.1%,0.1%,0.4%,0.1%,0.4%,4.3%,,34.9%,32.0%,15.2%,17.5%,0.4%
Blyth and Ashington,"102,000","46,700",,18.1%,9.3%,12.4%,17.6%,21.5%,21.0%,,96.9%,0.1%,1.2%,0.4%,1.0%,0.3%,0.1%,,96.3%,1.2%,1.1%,0.2%,0.7%,0.4%,,44.9%,48.8%,0.2%,0.1%,0.0%,0.7%,0.2%,0.4%,4.7%,,31.6%,27.4%,17.8%,22.6%,0.6%
Bognor Regis and Littlehampton,"107,000","47,300",,15.8%,8.5%,11.5%,16.8%,20.3%,27.2%,,87.9%,0.4%,8.2%,1.0%,1.5%,0.7%,0.2%,,87.1%,8.4%,1.7%,0.6%,1.6%,0.6%,,40.6%,51.1%,0.3%,0.3%,0.1%,0.8%,0.1%,0.5%,6.3%,,41.9%,25.5%,21.0%,10.3%,1.3%
Bolsover,"100,000","44,200",,17.3%,8.7%,13.2%,17.8%,22.2%,20.7%,,94.8%,0.2%,3.5%,0.5%,0.7%,0.2%,0.1%,,93.8%,3.6%,0.9%,0.5%,1.0%,0.3%,,44.8%,48.3%,0.2%,0.2%,0.0%,0.3%,0.1%,0.4%,5.6%,,35.6%,30.4%,15.9%,17.5%,0.5%
Bolton North East,"114,000","47,300",,20.9%,10.3%,12.7%,19.3%,18.7%,18.1%,,84.8%,0.5%,3.7%,3.1%,7.4%,0.4%,0.1%,,72.1%,3.4%,16.8%,3.8%,2.3%,1.6%,,27.6%,48.7%,0.2%,1.2%,0.0%,17.0%,0.1%,0.3%,4.8%,,33.2%,26.7%,18.0%,21.5%,0.5%
Bolton South and Walkden,"124,000","47,100",,24.4%,11.5%,14.6%,19.4%,16.8%,13.3%,,77.2%,0.4%,5.4%,4.6%,11.8%,0.5%,0.1%,,60.2%,4.4%,24.3%,6.2%,2.4%,2.5%,,26.8%,40.8%,0.2%,2.0%,0.1%,25.1%,0.1%,0.3%,4.6%,,25.6%,24.9%,20.4%,28.1%,1.0%
Bolton West,"98,300","41,200",,19.2%,9.0%,11.9%,19.3%,20.7%,19.9%,,90.0%,0.3%,2.6%,1.9%,4.7%,0.4%,0.1%,,80.5%,2.5%,11.9%,1.7%,2.2%,1.1%,,27.4%,55.1%,0.2%,2.3%,0.1%,9.8%,0.1%,0.4%,4.6%,,38.1%,33.5%,15.0%,12.9%,0.6%
Bootle,"101,000","44,900",,18.7%,9.7%,14.0%,18.9%,21.4%,17.4%,,93.5%,0.4%,3.2%,0.6%,1.4%,0.8%,0.1%,,91.5%,3.9%,1.6%,0.7%,1.5%,0.9%,,28.3%,64.9%,0.3%,0.5%,0.1%,0.9%,0.1%,0.3%,4.7%,,26.3%,26.3%,19.6%,27.1%,0.7%
Boston and Skegness,"116,000","50,400",,16.8%,8.7%,11.4%,17.2%,21.6%,24.3%,,83.7%,0.2%,13.5%,0.7%,1.5%,0.3%,0.1%,,82.3%,13.4%,1.6%,0.5%,1.3%,0.8%,,34.3%,57.4%,0.2%,0.3%,0.1%,1.0%,0.1%,0.4%,6.3%,,38.1%,22.0%,21.9%,16.7%,1.3%
Bournemouth East,"107,000","46,800",,17.5%,10.5%,13.4%,21.9%,18.7%,18.0%,,78.8%,0.5%,11.4%,2.3%,4.4%,2.4%,0.3%,,75.2%,12.9%,4.5%,1.5%,3.7%,2.3%,,40.2%,47.1%,0.6%,1.0%,0.5%,2.6%,0.1%,0.9%,7.0%,,28.3%,28.8%,33.2%,9.1%,0.7%
Bournemouth West,"107,000","45,000",,14.9%,17.4%,14.4%,18.4%,17.1%,17.8%,,80.5%,0.4%,10.2%,2.1%,4.1%,2.4%,0.3%,,77.3%,11.2%,4.2%,1.5%,3.7%,2.0%,,44.8%,42.3%,0.6%,1.0%,0.4%,2.2%,0.1%,0.9%,7.6%,,28.8%,26.1%,31.6%,12.8%,0.7%
Bracknell,"102,000","40,800",,20.0%,9.9%,14.4%,22.1%,19.3%,14.4%,,82.3%,0.5%,7.0%,3.2%,5.5%,1.1%,0.3%,,77.4%,8.3%,7.4%,2.6%,3.1%,1.3%,,41.5%,46.2%,0.9%,2.5%,0.1%,1.8%,0.7%,0.7%,5.5%,,27.0%,37.3%,16.1%,17.9%,1.8%
Bradford East,"119,000","41,500",,26.2%,13.1%,14.0%,20.3%,15.4%,11.0%,,74.6%,0.2%,5.5%,1.9%,17.2%,0.5%,0.1%,,40.7%,5.0%,45.6%,2.7%,3.2%,2.7%,,21.4%,25.9%,0.2%,0.6%,0.1%,44.3%,1.8%,0.3%,5.5%,,27.4%,28.3%,24.7%,18.8%,0.7%
Bradford South,"109,000","43,600",,23.6%,10.9%,13.5%,19.6%,18.2%,14.2%,,85.5%,0.3%,4.5%,1.7%,7.4%,0.5%,0.1%,,65.8%,4.6%,22.0%,2.5%,3.4%,1.7%,,34.4%,37.4%,0.2%,1.4%,0.0%,20.1%,0.9%,0.3%,5.4%,,27.8%,31.8%,22.6%,17.3%,0.4%
Bradford West,"121,000","39,300",,25.3%,15.1%,15.1%,20.3%,13.6%,10.4%,,67.5%,0.2%,6.4%,2.7%,22.5%,0.6%,0.0%,,23.9%,5.6%,61.0%,3.1%,2.9%,3.5%,,13.0%,19.7%,0.1%,1.5%,0.0%,58.7%,0.8%,0.3%,5.7%,,27.0%,25.3%,31.0%,16.2%,0.6%
Braintree,"104,000","43,200",,18.4%,9.2%,11.5%,18.9%,21.5%,20.6%,,92.5%,0.5%,3.8%,1.2%,1.3%,0.6%,0.2%,,90.3%,4.7%,1.6%,1.1%,1.8%,0.5%,,44.8%,47.3%,0.3%,0.3%,0.2%,0.7%,0.1%,0.4%,5.9%,,35.4%,33.6%,15.2%,14.9%,0.8%
"Brecon, Radnor and Cwm Tawe","92,100","41,700",,15.7%,8.0%,10.3%,16.0%,22.6%,27.4%,,95.6%,0.3%,1.8%,0.5%,1.3%,0.4%,0.2%,,95.2%,2.2%,1.1%,0.2%,0.9%,0.3%,,44.3%,47.1%,0.5%,0.3%,0.1%,0.3%,0.1%,0.7%,6.7%,,46.5%,22.5%,16.4%,14.3%,0.4%
Brent East,"135,000","49,300",,20.0%,12.0%,16.8%,22.2%,17.8%,11.3%,,46.6%,2.3%,16.9%,10.3%,17.1%,6.3%,0.4%,,16.6%,21.4%,22.3%,21.6%,6.0%,12.1%,,14.4%,41.5%,0.9%,6.4%,1.4%,27.2%,0.2%,0.8%,7.3%,,17.7%,16.3%,35.6%,28.0%,2.3%
Brent West,"134,000","41,200",,18.2%,13.0%,17.9%,22.1%,16.5%,12.3%,,37.8%,1.0%,15.1%,9.4%,32.8%,3.7%,0.2%,,9.4%,16.2%,50.1%,12.4%,3.3%,8.6%,,8.7%,34.6%,1.1%,28.3%,0.7%,17.9%,0.8%,1.9%,6.2%,,24.9%,20.6%,37.4%,15.0%,2.1%
Brentford and Isleworth,"129,000","47,300",,20.4%,9.8%,16.0%,25.3%,16.6%,11.8%,,50.7%,1.1%,15.1%,6.9%,23.8%,2.0%,0.4%,,28.5%,16.9%,35.3%,7.1%,5.0%,7.1%,,18.4%,38.7%,1.2%,10.3%,0.2%,17.3%,6.9%,0.9%,6.2%,,21.7%,24.9%,32.1%,18.7%,2.6%
Brentwood and Ongar,"98,100","40,900",,18.3%,8.8%,12.3%,19.1%,20.8%,20.7%,,89.9%,0.8%,3.7%,1.7%,2.8%,0.7%,0.3%,,84.2%,5.4%,4.5%,1.9%,2.9%,1.0%,,33.9%,55.3%,0.4%,1.5%,0.8%,1.5%,0.6%,0.3%,5.7%,,37.2%,34.8%,15.1%,12.0%,0.9%
Bridgend,"95,100","40,600",,17.3%,8.8%,13.0%,18.7%,21.1%,21.2%,,94.7%,0.3%,2.6%,0.6%,1.5%,0.3%,0.1%,,93.5%,2.6%,1.8%,0.4%,1.4%,0.3%,,49.9%,42.6%,0.3%,0.2%,0.0%,0.7%,0.1%,0.5%,5.7%,,38.2%,34.6%,14.3%,12.7%,0.3%
Bridgwater,"99,200","42,900",,17.7%,9.1%,12.5%,17.4%,20.7%,22.6%,,90.5%,0.3%,6.1%,0.7%,1.7%,0.4%,0.2%,,90.1%,6.2%,1.6%,0.4%,1.2%,0.6%,,42.3%,49.8%,0.2%,0.1%,0.0%,0.6%,0.1%,0.6%,6.3%,,36.5%,28.7%,19.5%,14.2%,1.0%
